instancia,intensidade,respeita_lb,repeticao,duracao,fo
instance_0007b,0.3,False,9,60.27,5.272151898734177
instance_0007b,0.5,True,4,60.52,0.868421052631579
instance_0007b,0.6,True,9,60.37,0.7647058823529411
instance_0007b,0.7,False,4,60.32,5.286624203821656
instance_0007b,0.8,False,9,60.31,5.2993630573248405
instance_0007b,1.0,True,4,60.44,0.8870967741935484
instance_0007b,0.1,True,10,60.23,0.9611650485436893
instance_0007b,0.2,False,5,60.18,5.253164556962025
instance_0007b,0.3,False,10,60.25,5.314102564102564
instance_0007b,0.5,True,5,60.45,0.7222222222222222
instance_0007b,0.6,True,10,60.49,0.752
instance_0007b,0.7,False,5,60.55,5.272151898734177
instance_0007b,0.8,False,10,60.61,5.339743589743589
instance_0007b,1.0,True,5,60.20,0.7583333333333333
instance_0007b,0.1,False,1,60.24,5.265822784810126
instance_0007b,0.2,False,6,60.33,5.348387096774194
instance_0007b,0.4,True,1,60.26,0.8070175438596491
instance_0007b,0.5,True,6,60.27,0.8278688524590164
instance_0007b,0.6,False,1,60.24,5.354838709677419
instance_0007b,0.7,False,6,60.31,5.2594936708860756
instance_0007b,0.9,True,1,60.44,0.7777777777777778
instance_0007b,1.0,True,6,60.28,0.8145161290322581
instance_0007b,0.1,False,2,60.40,5.2993630573248405
instance_0007b,0.2,False,7,60.28,5.305732484076433
instance_0007b,0.4,True,2,60.21,0.9512195121951219
instance_0007b,0.5,True,7,60.39,0.746031746031746
instance_0007b,0.6,False,2,60.35,5.305732484076433
instance_0007b,0.7,False,7,60.34,5.272151898734177
instance_0007b,0.9,True,2,60.49,0.7967479674796748
instance_0007b,1.0,True,7,60.41,0.8125
instance_0007b,0.2,False,8,60.25,5.2993630573248405
instance_0007b,0.1,False,3,60.29,5.32051282051282
instance_0007b,0.4,True,3,61.02,0.9134615384615384
instance_0007b,0.6,False,3,60.58,5.2993630573248405
instance_0007b,0.5,True,8,60.87,1.0
instance_0007b,0.7,False,8,60.78,5.339743589743589
instance_0007b,0.9,True,3,60.35,0.7711864406779662
instance_0007b,1.0,True,8,60.38,0.8230088495575221
instance_0007b,0.2,False,9,60.22,5.339743589743589
instance_0007b,0.1,False,4,60.24,5.305732484076433
instance_0007b,0.4,True,4,60.18,0.7520661157024794
instance_0007b,0.6,False,4,60.21,5.367741935483871
instance_0007b,0.5,True,9,60.21,0.8157894736842105
instance_0007b,0.7,False,9,60.21,5.367741935483871
instance_0007b,0.9,True,4,60.25,0.7583333333333333
instance_0007b,1.0,True,9,60.27,0.8046875
instance_0007b,0.1,False,5,60.18,5.265822784810126
instance_0007b,0.2,False,10,60.22,5.361290322580645
instance_0007b,0.4,True,5,60.17,0.7421875
instance_0007b,0.6,False,5,60.37,5.367741935483871
instance_0007b,0.5,True,10,60.26,0.8857142857142857
instance_0007b,0.7,False,10,60.20,5.367741935483871
instance_0007b,0.9,True,5,60.22,0.8032786885245902
instance_0007b,1.0,True,10,60.28,0.8333333333333334
instance_0007b,0.1,False,6,60.17,5.333333333333333
instance_0007b,0.3,True,1,60.19,0.9245283018867925
instance_0007b,0.4,True,6,60.16,0.7777777777777778
instance_0007b,0.6,False,6,60.32,5.272151898734177
instance_0007b,0.5,False,1,60.35,5.333333333333333
instance_0007b,0.8,True,1,60.26,0.7716535433070866
instance_0007b,0.9,True,6,60.26,0.7796610169491526
instance_0007b,1.0,False,1,60.25,5.339743589743589
instance_0007b,0.1,False,7,60.20,5.305732484076433
